,district,latitude,longitude
1450,bandar lampung,-5.45,105.2666667
1451,metro,-5.1166667,105.3
1452,bangka,-2.2884782,106.0640179
1453,belitung,-2.8708938,107.9531836
1454,bangka barat,-2.2884782,106.0640179
1455,bangka tengah,-2.2884782,106.0640179
1456,bangka selatan,-2.2884782,106.0640179
1457,belitung timur,-2.8708938,107.9531836
1458,pangkal pinang,-2.129323,106.109596
1459,karimun,1.05,103.3666667
1460,bintan,1.0619173,104.5189214
1461,natuna,3.9329945,108.1812242
1462,lingga,-0.1627686,104.6354631
1463,batam,1.0456264,104.0304535
1464,tanjung pinang,0.9179205,104.446464
1465,kepulauan seribu,-5.7985266,106.5071982
1466,jakarta selatan,-6.332973,106.807915
1467,jakarta timur,-6.211544,106.845172
1468,jakarta pusat,-6.211544,106.845172
1469,jakarta barat,-6.211544,106.845172
1470,jakarta utara,-6.211544,106.845172
1471,bogor,-6.6,106.8
1472,sukabumi,-6.92405,106.922203
1473,cianjur,-6.8172531,107.1307289
1474,bandung,-6.9147444,107.6098111
1475,garut,-7.227906,107.908699
1476,tasikmalaya,-7.327954,108.214104
1477,ciamis,-7.3333333,108.35
1478,kuningan,-6.9833333,108.4833333
1479,cirebon,-6.715534,108.564003
1480,majalengka,-6.8531026,108.2258897
1481,sumedang,0.6095949,110.0330554
1482,indramayu,-6.336315,108.325104
1483,subang,-6.569361,107.752403
1484,purwakarta,-6.5386806,107.4499404
1485,karawang,-6.3227303,107.3375791
1486,bekasi,-6.2333333,107
1487,bandung barat,-6.8937121,107.4321959
1488,bogor,-6.6,106.8
1489,sukabumi,-6.92405,106.922203
1490,bandung,-6.9147444,107.6098111
1491,cirebon,-6.715534,108.564003
1492,bekasi,-6.2333333,107
1493,depok,-6.39,106.83
1494,cimahi,-6.880239,107.5355
1495,tasikmalaya,-7.327954,108.214104
1496,banjar,-7.3666667,108.5333333
1497,cilacap,-7.733333,109
1498,banyumas,-7.4832133,109.140438
1499,purbalingga,-7.390747,109.3638
1500,banjarnegara,-7.402706,109.681396
1501,kebumen,-7.678682,109.656502
1502,purworejo,-7.709731,110.008003
1503,wonosobo,-7.362109,109.899399
1504,magelang,-7.481253,110.213799
1505,boyolali,-7.523819,110.595901
1506,klaten,-7.711687,110.595497
1507,sukoharjo,-7.6808818,110.8195292
1508,wonogiri,-7.817782,110.920601
1509,karanganyar,-7.5961111,110.9508333
1510,sragen,-7.430229,111.021301
1511,grobogan,-7.0217194,110.9625854
1512,blora,-6.95,111.4166667
1513,rembang,-6.71124,111.345299
1514,pati,-6.751338,111.038002
1515,kudus,-6.804087,110.838203
1516,jepara,-6.5596059,110.6717
1517,demak,-6.888115,110.639297
1518,semarang,-6.9666667,110.4166667
1519,temanggung,-7.316669,110.174797
1520,kendal,-6.919686,110.205597
1521,batang,-6.8941111,109.7234519
1522,pekalongan,-6.882887,109.669998
1523,pemalang,-6.884234,109.377998
1524,tegal,-6.8666667,109.1333333
1525,brebes,-6.8833333,109.05
1526,magelang,-7.481253,110.213799
1527,surakarta,-7.5666667,110.8166667
1528,salatiga,-7.302328,110.4729
1529,semarang,-6.9666667,110.4166667
1530,pekalongan,-6.882887,109.669998
1531,tegal,-6.8666667,109.1333333
1532,kulon progo,-7.8266798,110.1640846
1533,bantul,-7.8846111,110.3341111
1534,gunung kidul,-8.0305091,110.6168921
1536,yogyakarta,-7.797224,110.368797
1537,pandeglang,-6.314835,106.103897
1538,lebak,-6.5643956,106.2522143
1539,tangerang,-6.1783056,106.6318889
1540,serang,-6.12009,106.150299
1541,tangerang,-6.1783056,106.6318889
1542,cilegon,-6.0169825,106.040506
1543,serang,-6.12009,106.150299
1544,jembrana,-8.361852,114.6418
1545,tabanan,-8.544516,115.119797
1546,badung,-8.5819296,115.1770586
1547,gianyar,-8.544185,115.3255
1548,klungkung,-8.5389222,115.4045111
1549,bangli,-8.454303,115.354897
1550,karang asem,-6.3996057,108.0503042
1551,buleleng,-8.113831,115.126999
1552,denpasar,-8.65629,115.222099
1553,lombok barat,-8.6464599,116.1123078
1554,lombok tengah,-8.694623,116.2777073
1555,lombok timur,-8.5134471,116.5609857
1556,sumbawa,-8.6529334,117.3616476
1557,dompu,-8.4966318,118.4747173
1558,bima,-8.460566,118.727402
1559,sumbawa barat,-8.9292907,116.8910342
1560,mataram,-8.5833333,116.1166667
1561,bima,-8.460566,118.727402
1562,sumba barat,-9.6548326,119.3947135
1563,sumba timur,-9.9802103,120.3435506
1564,kupang,-10.1833333,123.5833333
1565,timor tengah selatan,-9.7762816,124.4198243
