,district,latitude,longitude
1406,Kota Dumai,1.665742,101.447601
1407,Kabupaten Kerinci,-1.697,101.264
1408,Kabupaten Merangin,-2.1752789,101.9804613
1409,Kabupaten Sarolangun,-2.2654937,102.6905326
1410,Kabupaten Batang Hari,-1.7083922,103.0817903
1411,Kabupaten Muaro Jambi,-1.596672,103.615799
1412,Kabupaten Tanjung Jabung Timur,-1.3291599,103.89973
1413,Kabupaten Tanjung Jabung Barat,-1.2332122,103.7984428
1414,Kabupaten Tebo,-1.2592999,102.3463875
1415,Kabupaten Bungo,-1.6401338,101.8891721
1416,Kota Jambi,-1.596672,103.615799
1417,Kabupaten Ogan Komering Ulu,-4.0283486,104.0072348
1418,Kabupaten Ogan Komering Ilir,-3.4559744,105.2194808
1419,Kabupaten Muara Enim,-3.651581,103.770798
1420,Kabupaten Lahat,-3.7863889,103.5427778
1421,Kabupaten Musi Rawas,-2.8625305,102.989615
1422,Kabupaten Musi Banyuasin,-2.5442029,103.7289167
1423,Kabupaten Banyu Asin,-2.6095639,104.7520939
1424,Kabupaten Ogan Komering Ulu Selatan,-4.6681951,104.0072348
1425,Kabupaten Ogan Komering Ulu Timur,-3.8567934,104.7520939
1426,Kabupaten Ogan Ilir,-3.426544,104.6121475
1427,Kabupaten Empat Lawang,-3.7286029,102.8975098
1428,Kota Palembang,-2.9911083,104.7567333
1429,Kota Prabumulih,-3.440956,104.235397
1430,Kota Pagar Alam,-4.03767,103.265297
1431,Kota Lubuklinggau,-3.2966667,102.8616667
1432,Kabupaten Bengkulu Selatan,-4.3248409,103.035694
1433,Kabupaten Rejang Lebong,-3.4548154,102.6675575
1434,Kabupaten Bengkulu Utara,-3.4219555,102.1632718
1435,Kabupaten Kaur,-4.6792278,103.4511768
1436,Kabupaten Seluma,-4.0622929,102.5642261
1437,Kabupaten Mukomuko,-2.5760003,101.1169805
1438,Kabupaten Lebong,-2.992617,104.382202
1439,Kabupaten Kepahiang,-3.651431,102.578201
1440,Kota Bengkulu,-3.7955556,102.2591667
1441,Kabupaten Lampung Barat,-5.1490396,104.1930918
1442,Kabupaten Tanggamus,-5.3027489,104.5655273
1443,Kabupaten Lampung Selatan,-5.5622614,105.5474373
1444,Kabupaten Lampung Timur,-5.1134995,105.6881788
1445,Kabupaten Lampung Tengah,-4.8008086,105.3131185
1446,Kabupaten Lampung Utara,-4.8133905,104.7520939
1447,Kabupaten Way Kanan,-4.4963689,104.5655273
1448,Kabupaten Tulangbawang,-4.3176576,105.5005483
1449,Kabupaten Pesawaran,-5.493245,105.0791228
1450,Kota Bandar Lampung,-5.45,105.2666667
1451,Kota Metro,-5.1166667,105.3
1452,Kabupaten Bangka,-2.2884782,106.0640179
1453,Kabupaten Belitung,-2.8708938,107.9531836
